id,lat,lon,vehicle_id,vehicle_label,timestamp,20min_lat,20min_lon
216892418112299242,51.504844665527344,-0.15071800351142883,7212,,2024-07-22 13:20:00.012021,51.49370193481445,-0.1468529999256134
8581792772645526409,51.52207565307617,-0.15876799821853638,7205,,2024-07-22 13:20:00.012021,51.55703353881836,-0.19482800364494324
6387393440409623248,51.5155143737793,-0.1566530019044876,BF68LFE,,2024-07-22 13:20:00.012021,51.493370056152344,-0.1483670026063919
10746531956553299780,51.51338195800781,-0.15828800201416016,LK17AKO,LK17AKO,2024-07-22 13:20:00.012021,51.52268600463867,-0.1652279943227768
9530148287986615328,51.508201599121094,-0.12627199292182922,BL15HBZ,BL15HBZ,2024-07-22 13:20:00.012021,51.51020050048828,-0.12224200367927551
12239423374593165725,51.517269134521484,-0.14328700304031372,BT66MSU,,2024-07-22 13:20:00.012021,51.50254821777344,-0.15425799787044525
9544859067768942903,51.52127456665039,-0.15940700471401215,BV66VJO,BV66VJO,2024-07-22 13:20:00.012021,51.51396942138672,-0.15403400361537933
13284252913032405449,51.513851165771484,-0.15336200594902039,LB69JRZ,LB69JRZ,2024-07-22 13:20:00.012021,51.50737762451172,-0.20418499410152435
6124388743788789937,51.515621185302734,-0.14463099837303162,LTZ1370,,2024-07-22 13:20:00.012021,51.51691436767578,-0.12627199292182922
13722214205849172262,51.522098541259766,-0.1273909956216812,LF67EWR,,2024-07-22 13:20:00.012021,51.510318756103516,-0.13433200120925903
15787081503043225271,51.51502990722656,-0.1419440060853958,LK15CTE,LK15CTE,2024-07-22 13:20:00.012021,51.52987289428711,-0.17642299830913544
9961595885918907304,51.509849548339844,-0.13433200120925903,LK15CUC,LK15CUC,2024-07-22 13:20:00.012021,51.50160217285156,-0.10948000103235245
10113223855967880338,51.52127456665039,-0.12470400333404541,YX18KPE,,2024-07-22 13:20:00.012021,51.52127456665039,-0.12470400333404541
11120938810966775327,51.513736724853516,-0.15582500398159027,LK18AJY,LK18AJY,2024-07-22 13:20:00.012021,51.51809310913086,-0.15582500398159027
3550105216135234766,51.50855255126953,-0.133883997797966,YJ70EVN,YJ70EVN,2024-07-22 13:20:00.012021,51.51738739013672,-0.16657200455665588
10712560839886073192,51.50808334350586,-0.13970500230789185,LTZ1107,LTZ1753,2024-07-22 13:20:00.012021,51.5124397277832,-0.11552499979734421
6790165974804814212,51.513851165771484,-0.15470600128173828,LB69JSV,LB69JSV,2024-07-22 13:20:00.012021,51.507965087890625,-0.13298800587654114
12626689355676284389,51.5218620300293,-0.1573919951915741,LK18AKF,,2024-07-22 13:20:00.012021,51.553897857666016,-0.190528005361557
3654974233135049970,51.51903533935547,-0.13298800587654114,LTZ1019,LTZ1036,2024-07-22 13:20:00.012021,51.545772552490234,-0.15067599713802338
11844232101039093502,51.51008224487305,-0.1379140019416809,LTZ1278,LTZ1281,2024-07-22 13:20:00.012021,51.5218620300293,-0.16209399700164795
12159842555339381508,51.51679611206055,-0.1273909956216812,LK67CYG,LK67CYG,2024-07-22 13:20:00.012021,51.51903533935547,-0.11977899819612503
17307354132285068997,51.51668167114258,-0.14261600375175476,LTZ1286,LTZ1286,2024-07-22 13:20:00.012021,51.50113296508789,-0.12627199292182922
3295885596987090830,51.515621185302734,-0.1285109966993332,LF67EYC,,2024-07-22 13:20:00.012021,51.515621185302734,-0.1285109966993332
7299761675050604177,51.50419616699219,-0.14798900485038757,LTZ1356,LTZ1356,2024-07-22 13:20:00.012021,51.516563415527344,-0.12940600514411926
14240416128267335153,51.507965087890625,-0.12671899795532227,LTZ1413,,2024-07-22 13:20:00.012021,51.51408767700195,-0.10567399859428406
429607383555440822,51.50749206542969,-0.14104799926280975,LTZ1196,LTZ1464,2024-07-22 13:20:00.012021,51.49924850463867,-0.15940700471401215
15395917788148939013,51.516090393066406,-0.133883997797966,LTZ1243,LTZ1380,2024-07-22 13:20:00.012021,51.515621185302734,-0.14485399425029755
7741226036466939312,51.50996780395508,-0.12828700244426727,LTZ1462,LTZ1462,2024-07-22 13:20:00.012021,51.49277114868164,-0.14351099729537964
9721645123900984372,51.5155029296875,-0.12806299328804016,LTZ1260,LTZ1262,2024-07-22 13:20:00.012021,51.513851165771484,-0.09291200339794159
8985813456819163446,51.515621185302734,-0.14485399425029755,LTZ1315,,2024-07-22 13:20:00.012021,51.521156311035156,-0.11440599709749222
2202760768016617257,51.51361846923828,-0.12940600514411926,LTZ1536,LTZ1536,2024-07-22 13:20:00.012021,51.49677658081055,-0.14485399425029755
8993235937730781324,51.51161575317383,-0.1285109966993332,LTZ1451,LTZ1451,2024-07-22 13:20:00.012021,51.5155029296875,-0.12828700244426727
12022228731524950735,51.508670806884766,-0.12537600100040436,LTZ1482,LTZ1482,2024-07-22 13:20:00.012021,51.48323059082031,-0.12761500477790833
10668306931328511363,51.514442443847656,-0.1482129991054535,LTZ1766,LTZ1766,2024-07-22 13:20:00.012021,51.52645492553711,-0.13321200013160706
14195451766624371465,51.51396942138672,-0.15246699750423431,LTZ1804,LTZ1804,2024-07-22 13:20:00.012021,51.496070861816406,-0.1444070041179657
17587218767097897896,51.509849548339844,-0.13589900732040405,LTZ1845,LTZ1845,2024-07-22 13:20:00.012021,51.51691436767578,-0.1455260068178177
10516929534475723007,51.5155029296875,-0.12783899903297424,LTZ1846,,2024-07-22 13:20:00.012021,51.50278091430664,-0.11082299798727036
8940224521927740713,51.52068328857422,-0.1430629938840866,LTZ1883,LTZ1883,2024-07-22 13:20:00.012021,51.50678634643555,-0.1273909956216812
