id,lat,lon,vehicle_id,vehicle_label,timestamp
4101706989508565789,51.589820861816406,-0.10298699885606766,LJ67DKK,,2024-07-23 20:35:13
14329231965259313881,51.47357177734375,-0.09604699909687042,LF69UZC,,2024-07-23 21:18:46
17377360728364929743,51.55825424194336,-0.12134599685668945,LK18AHL,LK18AHL,2024-07-23 21:18:47
17833758494213518640,51.50160217285156,-0.16254200041294098,LTZ1112,LTZ1112,2024-07-23 21:18:43
16078971342001033178,51.42964172363281,-0.10410699993371964,LK17AHV,,2024-07-23 20:29:22
7456042217864402928,51.5322265625,-0.24538099765777588,YX09AEB,,2024-07-23 20:10:17
7197428848646092078,51.42316436767578,-0.12022700160741806,LG23EVC,,2024-07-23 01:47:33
8152303129843992215,51.49677658081055,-0.10253900289535522,LTZ1783,LTZ1783,2024-07-23 21:18:55
5084505044506042774,51.49018096923828,-0.08037400245666504,YY67GZX,YY67GZX,2024-07-23 21:18:43
11065967780715551978,51.50973129272461,-0.22008100152015686,YX19OVO,,2024-07-23 21:14:26
3550105216135234766,51.51161575317383,-0.11910700052976608,YJ70EVN,YJ70EVN,2024-07-23 21:19:04
16571088717396996785,51.488765716552734,-0.12940600514411926,YX13BKF,,2024-07-23 21:17:54
18226638298985286344,51.465919494628906,-0.11619699746370316,LJ10HTU,,2024-07-23 21:19:11
8674379028375016978,51.53057861328125,-0.25299298763275146,YX68URS,,2024-07-23 19:56:40
13757605303722251543,51.47380828857422,-0.09627100080251694,YX18KPF,,2024-07-23 21:16:01
17016115171275423172,51.476871490478516,-0.04208900034427643,YX12FPA,,2024-07-23 21:19:19
5352637558978310812,51.536468505859375,-0.0588809996843338,YX17NWK,,2024-07-23 19:19:19
9771012799176710819,51.41091537475586,-0.12291300296783447,YY64TYO,YY64TYS,2024-07-23 21:19:12
16215915993105146645,51.474281311035156,-0.12448100000619888,YY14WEJ,,2024-07-23 19:39:39
11322832079290302511,51.553897857666016,-0.21717099845409393,LG72ECZ,LG72ECZ,2024-07-23 21:18:45
11015035788511146522,51.5255126953125,-0.21582700312137604,BJ11DTU,,2024-07-23 21:06:03
1937302309747549632,51.484527587890625,-0.1101519986987114,LTZ1784,LTZ1784,2024-07-23 21:18:33
