,latitude,longitude,geometry,LSOA11CD,IMD19,stops&stations_within_1km,ors_isochrone_area,is_in_regent_street,log_per_sq_ft,log_sqft,log_population,log_park_distance,log_tube_station_distance,log_bus_stop_distance
0,51.546197,-0.001925,POINT (-0.001925 51.546197),E01033583,9402,69,1839.7,0,3.2902658209548736,7.791935956938058,9.476640726023412,5.461201229449516,6.213567557246944,4.950672952923573
1,51.541726,-0.023781,POINT (-0.023781 51.541726),E01004224,7452,59,1688.75,0,3.4011973816621555,10.2145320850248,8.500417259054247,4.196901150547193,6.964929248256655,4.885374368583913
2,51.51851,-0.01804,POINT (-0.01804 51.51851),E01004242,9768,77,1604.49,0,2.8622008809294686,10.182065810738438,10.150664377173118,3.5260663637080247,6.131813273813276,5.425390449111513
3,51.54168,-0.09566,POINT (-0.09566 51.54168),E01002719,17270,82,2000.42,0,4.0884941485439255,10.11641913877392,9.2539274999887,4.7336513476366315,6.609335765987615,4.5800574851730165
4,51.514488,-0.158637,POINT (-0.158637 51.514488),E01004657,22741,84,1955.63,0,4.546375139477586,9.67464026580524,9.254442421230529,5.440250862436703,4.7879083226672625,4.9279780604152466
5,51.541498,-0.024911,POINT (-0.024911 51.541498),E01004224,7452,57,1739.82,0,3.1135153092103742,9.637371257998907,9.697894093464804,4.5369984058847574,7.03970417011142,4.783316371371566
6,51.545015,-0.119203,POINT (-0.119203 51.545015),E01002708,8035,75,1807.6,0,2.70805020110221,9.48402493478411,8.771567156758927,4.878093887464327,5.974140345974778,5.006292544662119
7,51.529646,-0.077173,POINT (-0.077173 51.529646),E01001777,6154,97,1924.91,0,3.676300671907076,9.29697667863573,9.789509456407556,4.681482868837255,6.739975476504033,4.127940511650616
8,51.50065,-0.09924,POINT (-0.09924 51.50065),E01003927,17545,122,2026.58,0,3.6888794541139363,9.273315171137572,9.529870614357579,5.048894006213346,6.025479425695259,4.20797082229696
9,51.50065,-0.09924,POINT (-0.09924 51.50065),E01003927,17545,122,2026.58,0,3.6808472824166723,9.273315171137572,9.529870614357579,5.048894006213346,6.025479425695259,4.20797082229696
10,51.50065,-0.09924,POINT (-0.09924 51.50065),E01003927,17545,122,2026.58,0,3.7800903341673204,9.273315171137572,9.529870614357579,5.048894006213346,6.025479425695259,4.20797082229696
11,51.527612,-0.086603,POINT (-0.086603 51.527612),E01033711,12611,119,1973.58,0,3.6109179126442243,9.17107965802288,10.19698928288063,4.884315927417586,5.346678867425915,4.654150808209713
12,51.528749,-0.05318,POINT (-0.05318 51.528749),E01004259,10040,74,1919.74,0,3.9954446135672184,9.060331104649475,9.483666641216134,4.100657924278693,5.4513388376304395,4.90527477843843
13,51.522891,-0.084639,POINT (-0.084639 51.522891),E01002704,12549,149,1971.49,0,3.624340932976365,9.030854790001436,8.902461034368944,5.037796402158628,5.9781766527810465,5.246339627455324
14,51.5598,-0.251489,POINT (-0.251489 51.5598),E01000510,7979,53,1649.27,0,2.7825390530929495,8.87024156729927,9.126217183787372,5.0891383555842,6.487668797668622,4.676001366748682
15,51.533175,-0.059325,POINT (-0.059325 51.533175),E01004202,10499,74,1883.71,0,3.481240089335692,8.865876285425417,9.845700058513787,2.9780773383152703,6.570868956639264,4.807049241997577
16,51.537779,-0.141406,POINT (-0.141406 51.537779),E01000861,6470,63,1954.9,0,3.8607297110405954,8.850947451970402,9.44047701453049,4.849370479827911,5.253529183757903,4.245490733029061
17,51.481473,-0.311351,POINT (-0.311351 51.481473),E01033082,10592,45,1244.51,0,2.853015971352396,8.842315546841863,8.528123240208819,3.686125665917315,7.514979580832285,5.240688253711401
18,51.469763,-0.176107,POINT (-0.176107 51.469763),E01033099,13403,83,1498.58,0,3.7495040759303713,8.808518618782816,9.8480826592036,4.237578730308009,7.51987676889905,4.696472344394877
19,51.49205,0.12012,POINT (0.12012 51.49205),E01001578,9697,62,1636.67,0,2.0320878452963655,8.787220328629298,9.06187632588812,5.868618717109136,8.173767233618955,4.953006181259619
20,51.61902,-0.10716,POINT (-0.10716 51.61902),E01001498,16629,51,1836.86,0,2.9564715596006885,8.779557455883728,9.155340215657306,5.909277876120035,7.484902208779911,4.418720118610357
21,51.537779,-0.141406,POINT (-0.141406 51.537779),E01000861,6470,63,1954.9,0,3.8607297110405954,8.850947451970402,9.44047701453049,4.849370479827911,5.253529183757903,4.245490733029061
22,51.522389,-0.143571,POINT (-0.143571 51.522389),E01004715,18090,85,1727.65,1,3.4375293109095457,8.768418726857403,9.821015312604414,5.396849622612283,5.123309003048306,4.808519109974122
23,51.531065,-0.071827,POINT (-0.071827 51.531065),E01001774,8923,83,1984.67,0,3.12982600803469,8.683385366280309,9.31325249275999,5.084071612169438,7.1001674208195835,4.8916265075140535
24,51.519603,-0.136305,POINT (-0.136305 51.519603),E01000851,18953,125,1930.55,1,4.0427003290697625,8.66406026722579,9.524631268691993,4.677490847567717,5.169745085748273,5.345725623943028
25,51.498825,-0.110905,POINT (-0.110905 51.498825),E01032582,8211,129,1895.85,0,3.3123661679555396,8.638879709672837,9.011652819895758,5.496307198978706,6.336542505201051,5.3992480851264775
26,51.548413,-0.072373,POINT (-0.072373 51.548413),E01001748,6737,99,1907.89,0,2.884800712846709,8.628018746505122,9.934301392131436,3.0937660138253564,7.676515370136233,4.889822673879508
27,51.531278,-0.068542,POINT (-0.068542 51.531278),E01001774,8923,85,1998.29,0,3.676300671907076,8.613593685702552,9.31325249275999,3.840527003723076,6.920128415045278,5.17105201550216
28,51.516034,-0.140689,POINT (-0.140689 51.516034),E01004765,15472,123,1935.86,1,4.2631023230097185,8.584851839890053,8.887354385688052,5.560604704979873,4.805577210328431,4.52406858455105
29,51.515667,-0.003472,POINT (-0.003472 51.515667),E01004245,2763,99,1228.87,0,2.995732273553991,8.58260632996447,9.561115546450448,4.340423084818807,6.560209961459738,5.239257145418492
30,51.48791,-0.12383,POINT (-0.12383 51.48791),E01003109,9248,102,1897.33,0,3.5553480614894135,8.556413904569519,9.227455076316465,3.3235961356386037,5.490259166718982,4.577182149447922
31,51.589973,-0.112392,POINT (-0.112392 51.589973),E01002030,12975,61,1800.26,0,2.996232148595642,8.522578663692576,8.737099508537463,4.9342580824984905,6.487166380728126,5.231215563007301
32,51.48791,-0.12383,POINT (-0.12383 51.48791),E01003109,9248,102,1897.33,0,3.5562048372093953,8.457443187010464,9.227455076316465,3.3235961356386037,5.490259166718982,4.577182149447922
33,51.516291,-0.140677,POINT (-0.140677 51.516291),E01004765,15472,122,1932.13,1,4.224641563169959,8.386856689688234,8.887354385688052,5.549776228842293,4.977078510567413,4.578415448679272
34,51.545897,-0.053801,POINT (-0.053801 51.545897),E01001731,7474,85,1927.43,0,3.2565568918358894,8.351610750626559,9.642736885519767,4.963613565322785,7.640478878655266,4.42232849394725
35,51.51935,-0.10695,POINT (-0.10695 51.51935),E01000916,14830,147,1847.29,0,3.068052935133617,8.339739766019143,9.512680242108685,5.02493259879708,5.163928463509385,4.8714498521794365
36,51.61384,-0.06491,POINT (-0.06491 51.61384),E01001558,4348,60,1741.59,0,2.6796507265805123,8.32263709695394,9.475126317191028,4.98045096291894,7.965851082012955,4.566325402164524
37,51.531162,-0.076823,POINT (-0.076823 51.531162),E01001777,6154,89,1957.54,0,3.3843902633457743,8.276394704863307,9.789509456407556,5.212051166390628,6.866860365136666,4.475289265133571
38,51.546197,-0.001925,POINT (-0.001925 51.546197),E01033583,9402,69,1839.7,0,3.2902658209548736,7.791935956938058,9.476640726023412,5.461201229449516,6.213567557246944,4.950672952923573
39,51.536386,0.026736,POINT (0.026736 51.536386),E01003596,10626,64,1737.11,0,3.019448800171307,8.27052509505507,9.63501708308687,5.813772258697689,6.404831685112001,4.815025842975365
40,51.526585,-0.080664,POINT (-0.080664 51.526585),E01033706,6887,124,2043.79,0,3.5610460826040513,8.251924713801357,9.300925771199337,4.573989068504517,6.21007785233566,4.533996366533566
41,51.526709,-0.080628,POINT (-0.080628 51.526709),E01033706,6887,122,2058.05,0,3.5610460826040513,8.251924713801357,9.300925771199337,4.434856248318414,6.2197946251094915,4.535391291380175
42,51.51851,-0.01804,POINT (-0.01804 51.51851),E01004242,9768,77,1604.49,0,3.006672213592325,8.233768709217097,10.150664377173118,3.5260663637080247,6.131813273813276,5.425390449111513
