,latitude,longitude,per_sq_ft,sqft,geometry,LSOA11CD,population,IMD19,park_distance,tube_station_distance,bus_stop_distance,stops&stations_within_1km,ors_isochrone_area,is_in_regent_street,log_per_sq_ft,log_sqft,log_population,log_park_distance,log_tube_station_distance,log_bus_stop_distance
0,51.546197,-0.001925,26.85,2421.0,POINT (-0.001925 51.546197),E01033583,13051.27,9402,234.38,499.4835346205311,141.26716826882728,69,18396969.224980984,0,3.2902658209548736,7.791935956938058,9.476640726023412,5.461201229449516,6.213567557246944,4.950672952923573
1,51.541726,-0.023781,30.0,27297.0,POINT (-0.023781 51.541726),E01004224,4916.82,7452,65.48,1058.8397617931746,132.33716602924275,59,16887523.622204334,0,3.4011973816621555,10.2145320850248,8.500417259054247,4.196901150547193,6.964929248256655,4.885374368583913
2,51.51851,-0.01804,17.5,26425.0,POINT (-0.01804 51.51851),E01004242,25608.11,9768,32.99,460.2733286745735,227.10184285458985,77,16044900.660661466,0,2.8622008809294686,10.182065810738438,10.150664377173118,3.5260663637080247,6.131813273813276,5.425390449111513
3,51.54168,-0.09566,59.65,24746.0,POINT (-0.09566 51.54168),E01002719,10445.51,17270,112.71,741.9900792409215,97.5235659383422,82,20004185.20351546,0,4.0884941485439255,10.11641913877392,9.2539274999887,4.7336513476366315,6.609335765987615,4.5800574851730165
4,51.514488,-0.158637,94.29,15909.0,POINT (-0.158637 51.514488),E01004657,10450.89,22741,229.5,120.05217210150896,138.09908028387636,84,19556250.043468527,0,4.546375139477586,9.67464026580524,9.254442421230529,5.440250862436703,4.7879083226672625,4.9279780604152466
5,51.541498,-0.024911,22.5,15327.0,POINT (-0.024911 51.541498),E01004224,16283.28,7452,92.41,1141.046948031754,119.49934531258684,57,17398247.84504223,0,3.1135153092103742,9.637371257998907,9.697894093464804,4.5369984058847574,7.03970417011142,4.783316371371566
6,51.545015,-0.119203,15.0,13148.0,POINT (-0.119203 51.545015),E01002708,6448.27,8035,130.38,393.1341473989402,149.34802937604363,75,18076023.307739653,0,2.70805020110221,9.48402493478411,8.771567156758927,4.878093887464327,5.974140345974778,5.006292544662119
7,51.529646,-0.077173,39.5,10905.0,POINT (-0.077173 51.529646),E01001777,17845.55,6154,106.93,845.5392301176612,62.05051676203156,97,19249078.42488261,0,3.676300671907076,9.29697667863573,9.789509456407556,4.681482868837255,6.739975476504033,4.127940511650616
8,51.50065,-0.09924,40.0,10650.0,POINT (-0.09924 51.50065),E01003927,13764.81,17545,154.85,413.844303255666,67.22153265260324,122,20265785.8314984,0,3.6888794541139363,9.273315171137572,9.529870614357579,5.048894006213346,6.025479425695259,4.20797082229696
9,51.50065,-0.09924,39.68,10650.0,POINT (-0.09924 51.50065),E01003927,13764.81,17545,154.85,413.844303255666,67.22153265260324,122,20265785.8314984,0,3.6808472824166723,9.273315171137572,9.529870614357579,5.048894006213346,6.025479425695259,4.20797082229696
10,51.50065,-0.09924,43.82,10650.0,POINT (-0.09924 51.50065),E01003927,13764.81,17545,154.85,413.844303255666,67.22153265260324,122,20265785.8314984,0,3.7800903341673204,9.273315171137572,9.529870614357579,5.048894006213346,6.025479425695259,4.20797082229696
11,51.527612,-0.086603,37.0,9615.0,POINT (-0.086603 51.527612),E01033711,26822.31,12611,131.2,209.91112145160525,105.01925622723849,119,19735847.96439797,0,3.6109179126442243,9.17107965802288,10.19698928288063,4.884315927417586,5.346678867425915,4.654150808209713
12,51.528749,-0.05318,54.35,8607.0,POINT (-0.05318 51.528749),E01004259,13143.29,10040,59.38,233.06611046405155,134.9951352608101,74,19197357.156564772,0,3.9954446135672184,9.060331104649475,9.483666641216134,4.100657924278693,5.4513388376304395,4.90527477843843
13,51.522891,-0.084639,37.5,8357.0,POINT (-0.084639 51.522891),E01002704,7350.04,12549,153.13,394.71642865780007,189.87220528530028,149,19714917.908916395,0,3.624340932976365,9.030854790001436,8.902461034368944,5.037796402158628,5.9781766527810465,5.246339627455324
14,51.5598,-0.251489,16.16,7117.0,POINT (-0.251489 51.5598),E01000510,9193.18,7979,161.25,656.9938062195835,107.33672447739065,53,16492728.674022421,0,2.7825390530929495,8.87024156729927,9.126217183787372,5.0891383555842,6.487668797668622,4.676001366748682
15,51.533175,-0.059325,32.5,7086.0,POINT (-0.059325 51.533175),E01004202,18877.01,10499,18.65,713.9851411954126,122.37461695772784,74,18837108.7826798,0,3.481240089335692,8.865876285425417,9.845700058513787,2.9780773383152703,6.570868956639264,4.807049241997577
16,51.537779,-0.141406,47.5,6981.0,POINT (-0.141406 51.537779),E01000861,12587.72,6470,126.66,191.2418448557144,69.79283810931618,63,19548989.644441772,0,3.8607297110405954,8.850947451970402,9.44047701453049,4.849370479827911,5.253529183757903,4.245490733029061
17,51.481473,-0.311351,17.34,6921.0,POINT (-0.311351 51.481473),E01033082,5054.95,10592,38.89,1835.3338323476032,188.7961337047633,45,12445113.817193128,0,2.853015971352396,8.842315546841863,8.528123240208819,3.686125665917315,7.514979580832285,5.240688253711401
18,51.469763,-0.176107,42.5,6691.0,POINT (-0.176107 51.469763),E01033099,18922.04,13403,68.24,1844.3438099169912,109.55768979167593,83,14985837.864100326,0,3.7495040759303713,8.808518618782816,9.8480826592036,4.237578730308009,7.51987676889905,4.696472344394877
19,51.49205,0.12012,7.63,6550.0,POINT (0.12012 51.49205),E01001578,8620.31,9697,352.76,3546.682631986501,141.59858690756366,62,16366652.197481534,0,2.0320878452963655,8.787220328629298,9.06187632588812,5.868618717109136,8.173767233618955,4.953006181259619
20,51.61902,-0.10716,19.23,6500.0,POINT (-0.10716 51.61902),E01001498,9464.85,16629,367.44,1780.9546289082232,82.9920708885357,51,18368582.900779467,0,2.9564715596006885,8.779557455883728,9.155340215657306,5.909277876120035,7.484902208779911,4.418720118610357
21,51.537779,-0.141406,47.5,6981.0,POINT (-0.141406 51.537779),E01000861,12587.72,6470,126.66,191.2418448557144,69.79283810931618,63,19548989.644441772,0,3.8607297110405954,8.850947451970402,9.44047701453049,4.849370479827911,5.253529183757903,4.245490733029061
22,51.522389,-0.143571,31.11,6428.0,POINT (-0.143571 51.522389),E01004715,18416.74,18090,219.71,167.8936836779847,122.55100582790908,85,17276500.513184577,1,3.4375293109095457,8.768418726857403,9.821015312604414,5.396849622612283,5.123309003048306,4.808519109974122
23,51.531065,-0.071827,22.87,5904.0,POINT (-0.071827 51.531065),E01001774,11083.94,8923,160.43,1212.165216278581,133.16546765142155,83,19846662.52436003,0,3.12982600803469,8.683385366280309,9.31325249275999,5.084071612169438,7.1001674208195835,4.8916265075140535
24,51.519603,-0.136305,56.98,5791.0,POINT (-0.136305 51.519603),E01000851,13692.88,18953,106.5,175.87093449382604,209.71179629352184,125,19305539.78388297,1,4.0427003290697625,8.66406026722579,9.524631268691993,4.677490847567717,5.169745085748273,5.345725623943028
25,51.498825,-0.110905,27.45,5647.0,POINT (-0.110905 51.498825),E01032582,8198.06,8211,242.79,564.837696427218,221.24423678972565,129,18958545.98054927,0,3.3123661679555396,8.638879709672837,9.011652819895758,5.496307198978706,6.336542505201051,5.3992480851264775
26,51.548413,-0.072373,17.9,5586.0,POINT (-0.072373 51.548413),E01001748,20625.87,6737,21.06,2157.087572464064,132.9281710259685,99,19078930.746072065,0,2.884800712846709,8.628018746505122,9.934301392131436,3.0937660138253564,7.676515370136233,4.889822673879508
27,51.531278,-0.068542,39.5,5506.0,POINT (-0.068542 51.531278),E01001774,11083.94,8923,45.55,1012.4494246134448,176.10254031041742,85,19982923.93625416,0,3.676300671907076,8.613593685702552,9.31325249275999,3.840527003723076,6.920128415045278,5.17105201550216
28,51.516034,-0.140689,71.03,5350.0,POINT (-0.140689 51.516034),E01004765,7239.84,15472,258.98,122.19147222387905,92.20917323602951,123,19358600.554436184,1,4.2631023230097185,8.584851839890053,8.887354385688052,5.560604704979873,4.805577210328431,4.52406858455105
29,51.515667,-0.003472,20.0,5338.0,POINT (-0.003472 51.515667),E01004245,14201.68,2763,75.74,706.422486236061,188.5290227117422,99,12288699.842047868,0,2.995732273553991,8.58260632996447,9.561115546450448,4.340423084818807,6.560209961459738,5.239257145418492
30,51.48791,-0.12383,35.0,5200.0,POINT (-0.12383 51.48791),E01003109,10172.62,9248,26.76,242.3164559027782,97.2439354268556,102,18973341.378189813,0,3.5553480614894135,8.556413904569519,9.227455076316465,3.3235961356386037,5.490259166718982,4.577182149447922
31,51.589973,-0.112392,20.01,5027.0,POINT (-0.112392 51.589973),E01002030,6229.8,12975,137.97,656.655496636411,187.0236190135708,61,18002585.807426218,0,2.996232148595642,8.522578663692576,8.737099508537463,4.9342580824984905,6.487166380728126,5.231215563007301
32,51.48791,-0.12383,35.03,4710.0,POINT (-0.12383 51.48791),E01003109,10172.62,9248,26.76,242.3164559027782,97.2439354268556,102,18973341.378189813,0,3.5562048372093953,8.457443187010464,9.227455076316465,3.3235961356386037,5.490259166718982,4.577182149447922
33,51.516291,-0.140677,68.35,4389.0,POINT (-0.140677 51.516291),E01004765,7239.84,15472,256.18,145.05131289486783,97.35664078197148,122,19321273.444432683,1,4.224641563169959,8.386856689688234,8.887354385688052,5.549776228842293,4.977078510567413,4.578415448679272
34,51.545897,-0.053801,25.96,4237.0,POINT (-0.053801 51.545897),E01001731,15409.46,7474,142.11,2080.7400596425714,83.28889242154908,85,19274329.585897435,0,3.2565568918358894,8.351610750626559,9.642736885519767,4.963613565322785,7.640478878655266,4.42232849394725
35,51.51935,-0.10695,21.5,4187.0,POINT (-0.10695 51.51935),E01000916,13530.21,14830,151.16,174.8450618849845,130.50961754140886,147,18472901.841983374,0,3.068052935133617,8.339739766019143,9.512680242108685,5.02493259879708,5.163928463509385,4.8714498521794365
36,51.61384,-0.06491,14.58,4116.0,POINT (-0.06491 51.61384),E01001558,13031.52,4348,144.54,2880.8834476828983,96.1940311863663,60,17415854.495678492,0,2.6796507265805123,8.32263709695394,9.475126317191028,4.98045096291894,7.965851082012955,4.566325402164524
37,51.531162,-0.076823,29.5,3930.0,POINT (-0.076823 51.531162),E01001777,17845.55,6154,182.47,959.9292657800854,87.82390682236708,89,19575409.73274548,0,3.3843902633457743,8.276394704863307,9.789509456407556,5.212051166390628,6.866860365136666,4.475289265133571
38,51.546197,-0.001925,26.85,2421.0,POINT (-0.001925 51.546197),E01033583,13051.27,9402,234.38,499.4835346205311,141.26716826882728,69,18396969.224980984,0,3.2902658209548736,7.791935956938058,9.476640726023412,5.461201229449516,6.213567557246944,4.950672952923573
39,51.536386,0.026736,20.48,3907.0,POINT (0.026736 51.536386),E01003596,15290.96,10626,333.88,604.7588389838492,123.34615713080342,64,17371062.53233101,0,3.019448800171307,8.27052509505507,9.63501708308687,5.813772258697689,6.404831685112001,4.815025842975365
40,51.526585,-0.080664,35.2,3835.0,POINT (-0.080664 51.526585),E01033706,10948.15,6887,95.93,497.7431214980264,93.13151107813708,124,20437895.161674306,0,3.5610460826040513,8.251924713801357,9.300925771199337,4.573989068504517,6.21007785233566,4.533996366533566
41,51.526709,-0.080628,35.2,3835.0,POINT (-0.080628 51.526709),E01033706,10948.15,6887,83.34,502.6035393498121,93.25936833581083,122,20580467.33645764,0,3.5610460826040513,8.251924713801357,9.300925771199337,4.434856248318414,6.2197946251094915,4.535391291380175
