,geometry,group_index,value,center,area_m2
0,"POLYGON ((-0.1762809999999995 51.51331600000001, -0.1756930000000003 51.50984, -0.175518000000001 51.50984699999999, -0.1752110000000004 51.50987799999999, -0.1750540000000006 51.50992699999999, -0.1734219999999987 51.510481, -0.1677659999999993 51.50361299999999, -0.1686499999999992 51.498931999999996, -0.1683229999999984 51.496038999999996, -0.1681129999999985 51.495912000000004, -0.1668520000000001 51.495813999999996, -0.1600210000000003 51.49405900000001, -0.1581969999999997 51.492793, -0.1581020000000022 51.492804, -0.1515469999999993 51.493849, -0.1455649999999998 51.49439999999999, -0.1426329999999994 51.494752999999996, -0.1359719999999992 51.49470399999999, -0.1352879999999993 51.49468599999999, -0.1352349999999996 51.494697, -0.1342060000000005 51.495284999999996, -0.1257629999999995 51.49576299999998, -0.125705 51.495763000000004, -0.1183889999999996 51.499010999999996, -0.1130799999999991 51.502576, -0.110289 51.504189, -0.1069929999999999 51.509321, -0.1073349999999985 51.51283999999999, -0.1112729999999997 51.52050699999999, -0.1114819999999992 51.52201300000001, -0.111545999999999 51.52210699999999, -0.1123109999999999 51.523157999999995, -0.1123340000000002 51.523188999999995, -0.1130889999999985 51.52409499999999, -0.1133429999999986 51.52439799999999, -0.1133499999999996 51.524404999999994, -0.1213419999999984 51.528507999999995, -0.1234279999999993 51.528673, -0.1247770000000002 51.528613, -0.131311999999998 51.529093999999986, -0.1394700000000004 51.53209100000001, -0.1401359999999991 51.532709999999994, -0.1453799999999986 51.535687, -0.147922 51.537107000000006, -0.14814 51.537024, -0.1482620000000009 51.536936999999995, -0.1485010000000001 51.53667, -0.1485390000000005 51.536614, -0.1552450000000002 51.530619, -0.1633990000000002 51.526967000000006, -0.1675670000000008 51.525549, -0.1677089999999998 51.525477, -0.1680929999999998 51.525275, -0.1682129999999992 51.525211, -0.1716710000000001 51.521729999999984, -0.1759299999999992 51.515643, -0.1762809999999995 51.51331600000001))",0,600.0,"[-0.1405899014292769, 51.513117355471046]",16064376.602094783
1,"POLYGON ((-0.2660159999999996 51.516854, -0.2646410000000001 51.515505, -0.2579899999999992 51.510753999999984, -0.2558279999999988 51.509722, -0.2516080000000004 51.508809, -0.2464379999999997 51.504958, -0.2451419999999992 51.504984, -0.2448589999999994 51.504984, -0.2442730000000005 51.504983, -0.2408579999999983 51.504803, -0.2391179999999982 51.504295, -0.238927 51.50426499999999, -0.2382919999999999 51.50414899999999, -0.2349849999999988 51.502809, -0.2346219999999999 51.502865, -0.2293710000000005 51.504209, -0.2256419999999979 51.50189299999999, -0.2268670000000004 51.493914, -0.2325669999999996 51.49278099999999, -0.2350560000000001 51.493019, -0.2390260000000006 51.492308, -0.2391220000000001 51.492309000000006, -0.2433519999999982 51.49246999999998, -0.2436200000000004 51.492406, -0.2446809999999996 51.490288, -0.2446770000000009 51.490272, -0.2427809999999995 51.488905, -0.2391409999999993 51.48870899999999, -0.2376869999999991 51.488592, -0.2376349999999994 51.48859399999999, -0.2361470000000003 51.488648, -0.2354799999999992 51.48865399999998, -0.2329130000000012 51.48919800000001, -0.2258720000000001 51.486938, -0.2227390000000005 51.48586900000001, -0.2210339999999993 51.485675999999984, -0.2185180000000006 51.485656, -0.2120340000000001 51.482046, -0.2108969999999993 51.48128899999999, -0.208580999999999 51.48098199999999, -0.2004669999999997 51.47871400000001, -0.1946239999999992 51.47618, -0.1920699999999994 51.474537000000005, -0.1895719999999998 51.47417000000001, -0.1825229999999997 51.474974, -0.179051999999999 51.46943999999999, -0.1789629999999998 51.469168, -0.1778549999999995 51.46822699999999, -0.1777470000000003 51.468212, -0.1773069999999995 51.468199999999996, -0.1689059999999984 51.469283, -0.1643740000000009 51.46824699999999, -0.164103 51.468212, -0.163856999999999 51.46826799999999, -0.1585399999999998 51.470850000000006, -0.1539709999999984 51.47288399999999, -0.1491749999999982 51.47410099999999, -0.1491439999999997 51.474109999999996, -0.1439120000000003 51.476054, -0.1355370000000002 51.476704, -0.1297149999999997 51.47650399999999, -0.1229919999999992 51.47450099999998, -0.1229249999999998 51.47450399999999, -0.1165289999999986 51.47839799999999, -0.1102049999999994 51.47913799999999, -0.1098079999999993 51.479138999999996, -0.1094960000000001 51.47962499999999, -0.1059509999999995 51.484540999999986, -0.0971739999999986 51.48561899999999, -0.0968709999999988 51.48555499999999, -0.0961220000000004 51.485361, -0.0943919999999993 51.484881, -0.0942369999999987 51.48493499999999, -0.0941029999999984 51.485062, -0.0933709999999996 51.486447, -0.0932829999999995 51.487573999999995, -0.0878579999999987 51.492324999999994, -0.085203999999999 51.491737999999984, -0.0823769999999995 51.48934, -0.0823479999999994 51.489317, -0.0821049999999999 51.48929100000001, -0.0802200000000006 51.489079999999994, -0.0800749999999994 51.489147999999986, -0.0776710000000002 51.494113, -0.0730640000000004 51.496285, -0.0720870000000005 51.497816, -0.0650560000000007 51.503322999999995, -0.0635579999999994 51.504042999999996, -0.0601029999999988 51.50706099999999, -0.0596469999999988 51.508009, -0.0589859999999996 51.509644, -0.0590010000000004 51.50972999999999, -0.0608289999999994 51.511250999999994, -0.0667480000000006 51.51468799999999, -0.0697719999999994 51.516227, -0.0763169999999998 51.52167199999999, -0.0762639999999993 51.52349099999999, -0.0783980000000004 51.530981, -0.0798890000000002 51.532638, -0.0829410000000004 51.534378000000004, -0.0843879999999988 51.53449899999999, -0.0868769999999989 51.535328, -0.0897609999999992 51.541895, -0.0901589999999989 51.544113999999986, -0.090459 51.544734000000005, -0.0904909999999992 51.544746, -0.0906540000000001 51.544771999999995, -0.0918320000000012 51.54484000000001, -0.0949630000000001 51.544859999999986, -0.101957999999999 51.547937, -0.1023800000000014 51.547929, -0.1025670000000005 51.547928, -0.1091679999999985 51.548585999999986, -0.112700999999999 51.55088099999999, -0.1198119999999978 51.555317, -0.1203290000000001 51.55681, -0.1209039999999988 51.557120999999995, -0.1224079999999984 51.55781199999999, -0.129913999999999 51.559403, -0.1333270000000004 51.561523, -0.133474999999998 51.56158399999999, -0.1368749999999994 51.562523, -0.1406169999999994 51.563565999999994, -0.1410159999999991 51.56361499999999, -0.1422899999999989 51.562901999999994, -0.1486710000000012 51.55936700000001, -0.1549939999999996 51.555748999999985, -0.159414 51.55541500000002, -0.1640179999999983 51.556234999999994, -0.1647319999999991 51.55625099999999, -0.1661179999999997 51.55576099999999, -0.1738949999999996 51.55448700000001, -0.1767809999999998 51.556231, -0.1770389999999986 51.556459999999994, -0.1787289999999997 51.55651999999999, -0.1790519999999994 51.55637099999999, -0.1825269999999992 51.552225, -0.1887539999999993 51.55097200000001, -0.1924200000000005 51.55071900000001, -0.193127999999999 51.55064, -0.196587 51.549696999999995, -0.2039279999999998 51.549648, -0.2051279999999992 51.54900399999999, -0.212780000000001 51.546675, -0.2143789999999989 51.54637499999998, -0.2143969999999989 51.54636099999999, -0.2138870000000004 51.54325, -0.213550999999999 51.53902299999999, -0.2195279999999997 51.532491, -0.2225929999999988 51.53186699999999, -0.2242729999999994 51.531853, -0.2247460000000007 51.531131, -0.2248399999999978 51.52829799999999, -0.2327550000000007 51.526602000000004, -0.2345030000000005 51.52617, -0.2362699999999988 51.52582499999999, -0.2362600000000006 51.525781, -0.2386269999999982 51.518294999999995, -0.2418199999999989 51.517158, -0.2479329999999987 51.518345, -0.2489479999999985 51.519033, -0.251466 51.52081799999999, -0.2516039999999998 51.520767000000006, -0.2518019999999998 51.52065399999999, -0.252352000000001 51.52013900000001, -0.2610059999999986 51.520408999999994, -0.2617339999999983 51.52095399999999, -0.2617539999999999 51.520967, -0.2649409999999999 51.51909199999999, -0.2660439999999978 51.516954999999996, -0.2660159999999996 51.516854))",0,1200.0,"[-0.1405899014292769, 51.513117355471046]",89689750.60983172
